,Unnamed: 0,price,superficie_habitable,superficie_terrain,codeP,gouvernorat,delegation,localite,adresse,anneeConst,nbpiece,typeImm,fonds,plein_air,salle_de_bain,constructible,service,chauffage,climatisation,cuisine,installations_sportives,description
9677,9677,1000000.0,150.0,150.0,,ZAGHOUAN,,,"akari.immobilier@gmail.com, El Fahs, Zaghouan",,0,terrain,,,,,,,,,,
9995,9995,800000.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,4,terrain,,,,,,,,,,
11875,11875,478800.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,0,terrain,,,,,,,,,,
12286,12286,933380.0,150.0,150.0,,ZAGHOUAN,,,"Rond point de Jbel ouest route de Tunis, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
13617,13617,450000.0,150.0,150.0,,ZAGHOUAN,,,"Wed Errebeh , 1100, Zaghouan, Zaghouan",,0,terrain,,,,,,,,,,
13808,13808,600000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,,"Ain zaghouan, Aïn Zaghouan, Tunis",,4,terrain,,,,,,,,,,
14322,14322,2505000.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,2,terrain,,,,,,,,,,
14775,14775,680000.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,0,terrain,,,,,,,,,,
15716,15716,4000000.0,150.0,150.0,,ZAGHOUAN,,,"Jbel el oust  à proximité de la station thermale D, Zaghouan, Zaghouan",,0,terrain,,,,,,,,,,
16320,16320,2600000.0,150.0,150.0,,ZAGHOUAN,,,"zaghoun oued sbayhiya, Zaghouan, Zaghouan",,0,terrain,,,,,,,,,,
16387,16387,950000.0,150.0,150.0,,ZAGHOUAN,,,"zaghoun oued sbayhiya, Zaghouan, Zaghouan",,0,terrain,,,,,,,,,,
16478,16478,630000.0,150.0,150.0,,ZAGHOUAN,,,"bir mchergua, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
16479,16479,6400000.0,150.0,150.0,,ZAGHOUAN,,,"zaghoun route bouarada, El Fahs, Zaghouan",,0,terrain,,,,,,,,,,
17895,17895,3200000.0,150.0,150.0,,ZAGHOUAN,,,"rue de la terre zaghouan, Zaghouan, Zaghouan",,2,terrain,,,,,,,,,,
21151,21151,3000000.0,150.0,150.0,4216.0,ZAGHOUAN,LA MARSA,El AOUINA,"L'Aouina, Aïn Zaghouan, Tunis",,0,terrain,,,,,,,,,,
25435,25435,480000.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,0,terrain,,,,,,,,,,
26096,26096,1547000.0,150.0,150.0,,ZAGHOUAN,,,"bir mchergua, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
26653,26653,1547000.0,150.0,150.0,,ZAGHOUAN,,,"bir mchergua, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
26656,26656,4068000.0,150.0,150.0,,ZAGHOUAN,,,"bir mchergua, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
27880,27880,2000000.0,150.0,150.0,,ZAGHOUAN,,,"Aïn Zaghouan, Tunis",,4,terrain,,,,,,,,,,
28871,28871,1111110.0,150.0,150.0,,ZAGHOUAN,,,"tunisie, Bir Mchergua, Zaghouan",,0,terrain,,,,,,,,,,
29060,29060,11111100.0,150.0,150.0,,ZAGHOUAN,LA MARSA,,"Ain Zaghouan, L'aouina, Tunis",,0,terrain,,,,,,,,,,
31452,31452,1224000.0,150.0,150.0,,ZAGHOUAN,,,"bir mchergua, Bir Mchergua, Zaghouan",,4,terrain,,,,,,,,,,
32683,32683,850000.0,314.0,314.0,,ZAGHOUAN,,,"Ain Zaghouen Nord, Tunis, Gouvernorat de Tunis, Tunisie/ Ville   Tunis",,4,terrain,1,,3,,,,,,,"On met à la vente une villa R+1 située à Ain Zaghouan Nord. Terrain  314 m², batie  375 m² Sous Sol  parking pour 2 voitures, espace de jeux. RDC  un grand salonsalle à manger, séjour, cuisine, salle d’eau 1er étage  hall, 1 suite avec balcon, dressing et salle d’eau 2 chambres à coucher et 1 salle de bain commune jardin chauffage central"
32765,32765,1500000.0,150.0,150.0,1100.0,ZAGHOUAN,,,EnNadhour Zaghouan/ Ville   Zaghouan/ Région   EnNadhour Zaghouan,,0,terrain,,,,Constructible,,,,,,"_ a vendre une exploitation agricole clôturé d’une superficie de 11 ha a la région nadour ( zaghoun) comportant   _ un sondage profond de 7l/s avec une qualité de 1,1g/l (salinité) _ une vanne d’eau de 8l/s _éléctrification ( haute tension) _un bassin d’eau ( 150 m²* m) _une grande étable _un studio (s+2) avec terasse _5ha olivier (1000 plants agés de six ans) _5ha agrumes ( 2500 plants agés de 4 ans)( thomson + chenois)"
32771,32771,450000.0,150.0,150.0,1100.0,ZAGHOUAN,,,Zaghouan/ Ville   Zaghouan/ Région   Zaghouan,,0,terrain,,,,Constructible,,,,,,terrain de 575 m sur dalle tous papiers juridique plan de constru r+4 située au route tunis zaghouan rouiguia 400 m a l hopital de zaghouan
33632,33632,300000000.0,150.0,150.0,2011.0,ZAGHOUAN,,,2011 Zaghouan/ Ville   Zaghouan/ Région   Zaghouan,,0,terrain,,,,Constructible,,,,,,"vendre terrain de 10 hectares situé à 20 minutes de Tunis en véhicule et pas d’embouteillage, fait pour l’agriculture, équipé de deux sondages et deux maisons. Il a un emplacement stratégique pour tout objectif d’achat. Prix waw 300 mille dinars. Prix négociable."
4,4,720000.0,150.0,150.0,,ARIANA,Ariana Ville,Cite Ennasr 2,ennasr 2,,0,maison,,,,,,,,,,"a vendre a ennasr 2 pour 720000 dt un duplex s plus 3 ( 207m) dans une residence avec 2 suites , une salle de bain et une salle d'eau , terrasse (48m) , parking sous sol (wb1402)"
108,108,1650000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"notre agence met à votre disposition une villa de hst à la soukra composée comme suit      un salon, une salle à manger , un séjour , une salle d’eau invités, cinq chambres à coucher dont une suite parentale , deux salles de bains et une cuisine équipée spacieuse.    la villa dispose une piscine , une une salle de bains d’été et un garage pour deux voitures.    elle est équipée de chauffage central et une climatisation.    date de construction 2017.    pour plus d’informations n’hésitez pas de nous contacter."
196,196,980000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"la croisette immobilière met à votre disposition un duplex haut standing composé comme suit   au rez de chaussée    un salon spacieux qui ouvre sur une piscine ,une salle d'eau (invités ) ,une chambre à coucher  et une cuisine équipée . a u 1ér étage   un séjour lumineux,une salle d'eau, deux suites et une autre chambre. le duplexe contient deux garages ,et un cellier . réf   mdv0012 pour plus d'offres similaires merci de taper la croisette immobilière ."
261,261,520000.0,150.0,150.0,,ARIANA,Ariana Ville,El Menzah 6,el manzah 6,,0,maison,,,,,,,,,,"l'agence immobilière ben amara vous propose a la vente  duplex 7 pièces situé à manzah 6 dans un emplacement privilégié calme . d'une superficie de 250 m2,   à l’entrée elle se distingue une belle terrasse, au rez de chaussé il y a un spécieux salon avec salle à manger, cuisine bien aménager, salle d'eau, au première étage il y'a  des chambres à coucher avec des placards ,  la villa et doté de chauffage central, climatiseur . deux entrées. pour plus d'information veuillez contactez nous  20098353/52443896 immobilière ben amara"
263,263,1200000.0,150.0,150.0,,ARIANA,Ariana Ville,El Menzah 8,,,0,maison,,,,,,,,,,"immobilière ben amara vous propose à la vente une villa sur trois niveaux, surface 437 m2 / bâti 150 m2 / étage sise à el manzah 9 /b9 alentour clinique l’espoir. la battisse est composée comme suite  au rez de chaussée  un grand salon,cuisine entièrement équipée, salle de bain et deux chambres à coucher. à l’étage   une grand salon, terrasse salle à manger , cuisine bien équipée, salle de bain, salle d'eau, 4 chambres à coucher. à l’extérieur jardin, entrée voiture. tout les pièces sont chauffées et climatisées. prix   1,200  pour plus d’offres similaires merci de taper immobilière ben amara 52443896/99771331"
269,269,850000.0,150.0,150.0,,ARIANA,LA SOUKRA,Chotrana 1,la soukra,,0,maison,,,,,,,,,,"sybaris immobilier agence immobilière située à la marsa, vous propose à la vente un duplex à la marsa. la maison se compose comme suit   jardin et garage pour deux voitures. au rez de chaussée,   salon, salle à manger, une cuisine américaine, moderne et entièrement équipée , salle d'eau invitée et un mini bar . l'étage se compose   trois chambres à coucher avec une salle de bain commune. la villa est équipée de climatiseurs , chauffage central et dressing dans toutes les pièces.  ref 3359380"
279,279,1070000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,,,0,maison,,,,,,,,,,"sybaris immobilier , agence immobilière située à la marsa vous propose à la vente un très beau duplex à la vente à la soukra d'une superficie de 349 m². il se compose d'un spacieux salonsalle à manger avec une cheminée, une cuisine, une chambre de service, trois chambres dont deux suites, un séjour, un grand jardin avec piscine, un abris de voiture et une place de garage. il bénéficie également de deux entrée et d'un excellent emplacement dans une zone résidentielle. réf. 3197315"
284,284,2200000.0,150.0,150.0,,ARIANA,LA SOUKRA,Charguia 2,chotrana 2,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une belle villa de plein pied en s+5 bâtie 600 m²située dans un quartier résidentiel à chotrana2 la soukra. l’extérieur est complété par un grand jardin bien entretenu, une belle piscine, un garage qui peut abriter jusqu’à quatre voitures et un studio. pour les offres similaires merci de taper la croisette immobilière"
298,298,4000000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente, une grande villa à la soukra côté parc avec une superficie de 3000 m². a l'entrée se trouve un grand séjour muni d'une cheminée avec une vue dégagé sur le jardin et la piscine. une cuisine qui donne accès à un espace réservé au personnel, avec un salon une chambre et une salle de bain, une suite. au rezdechaussée avec dressing et une salle de bain.  a l’étage se trouve 3 chambres à coucher avec balcon, une salle de bain et une suite parentale.   a l’extérieur  un immense jardin, piscine, studio du gardien, abri pour deux voitures. la villa est équipée d'un chauffage central et climatisations. refmvv0030 pour plus d’offres similaires consultez la croisette immobiliere"
301,301,1200000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"phoenix estates, agence immobilière située à la marsa, vous propose à la vente une magnifique villa à la soukra d’une superficie de 310m² dont 180m² de jardin. la villa fait 320m² bâti sur 3 niveaux dont un soussol habitable. cette demeure offre au rez de chaussée un spacieux salonsalle à manger donnant sur la piscine et le jardin, un séjour, une salle d’eau invités et une cuisine américaine moderne. quant à l’étage, il compte une suite parentale et deux chambres à coucher avec une salle de bain commune. au soussol, il y a une deuxième cuisine préinstallée, une chambre de service, une salle d’eau, une buanderie et un openspace. la villa est équipée de système d’alarme, caméra de surveillance, chauffage par le sol et climatisation centrale. cette bâtisse est intelligente grâce à ses matériaux sophistiqués, elle est connectée avec un moniteur permettant de gérer l’ensemble de la domotique à distance via internet. le quartier est calme résidentiel et à l’abris de tout vis à vis. prix   1200000dt nos agents sont à votre disposition pour toutes informations nécessaires et éventuelle visite. veuillez nous contacter sur  +216 26647474 notre site web  phoenixestates. com"
321,321,1070000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"phoenix estates, agence immobilière située à la marsa,vous propose à la vente un duplex avec piscine d'une superficie de 410m² sis à la soukra.  ce logement offre un spacieux salonsalle à manger avec une cheminée, un séjour,une cuisine équipée, une chambre de service,une salle d'eau avec douche, deux suites et une chambre à coucher avec une salle de bain commune.  le duplex est climatisée et chauffé, il est doté aussi d'un jardin avec piscine, un abris de voiture et un garage.  il bénéficie également de deux entrée et d'un excellent emplacement dans une zone résidentielle.   prix  1070000dt  nos agents sont à votre disposition pour toutes informations nécessaires et éventuelle visite.  veuillez nous contacter sur le +216 26647474  notre site web  phoenixestates. com"
327,327,1750000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,chotrana 2,,0,maison,,,,,,,,,,"sybaris immobilier, agence immobilière située à la marsa vous propose à la vente une magnifique villa de plain pied à la soukra. la bâtisse se compose comme suit    un immense jardin avec un coin barbecue, piscine 11/6, loge gardien avec kitchenette et salle d'eau, garage pour deux voitures, place parking pour 10 voitures. hall de distribution, un immense salon, séjour, salle à manger,  cuisine entièrement équipée, buanderie, chambres de service avec sa salle d'eau,  une grande suite parentale qui donne sur le jardin et la piscine, trois chambres à coucher, salle de bain commune. la villa est équipée de chauffage central, climatiseurs et dressing dans toutes les pièce. titre individuel en règle. réf 2687906"
372,372,850000.0,150.0,150.0,,ARIANA,LA SOUKRA,Chotrana 1,chotrana 1 derrière résidence du golf,,0,maison,,,,,,,,,,"a vendre une adorable villa très haut standing neuve titré  avec piscine, garage aéré pour 2 voitures et un garage couvert sous forme de studio bien équipé, dans un quartier très calme, sécurisé et bien sélectionné.   elle est composée de    un jardin en pelouse à l'entour et une belle piscine.   une terrasse devant la porte d'entrée.   un grand hall marbré.  + une magnifique salon spacieux marbré.    une grande suite parentale avec terrasse en face de la piscine.   une belle cuisine moderne très bien équipée avec salle à manger, ouverte à une porte de service.  et une salle d'eau avec douche très chic.    à l'étage il y a     une autre suite parentale.   2 chambres à coucher communicante à un beau balcon.   une autre chambre à coucher.   une très belle salle de bain commune.   une chambre de dressing.  et un couloir marbré.  sur le toit    une autre cuisine buanderie et une immense terrasse vue panoramique.  toute la villa marbré construite l'année dernière.  prix   850 000 dt.  droit de visite   20 dt.   pour + d'infos veuillez contacter le 29 200 004 ."
410,410,1400000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une villa très haut standing, sur trois niveaux, sise à la soukra. la bâtisse est composée comme suit    * au rez de chaussée  un grand salon, salle à manger séjour ouvert, une cuisine entièrement équipé et une salle d'eau pour les invités, salle de bain, une suite avec dressing et une chambre à coucher.   * a l'étage   deux suites avec dressing chacune, et une grand salon et terrasse .   sous sol  un studio, une cuisine entièrement équipée et garage.   * a l'extérieur une jardin et piscine.   tout les pièces sont chauffées et climatisées.   ref  mvv0107  pour plus d'offres similaires merci de taper la croisette immobilière"
419,419,1600000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"notre agence met à votre disposition une villa  à la soukra avec une piscine composée comme suit      au rezdechaussée   un salon,  une salle à manger ,une cuisines équipée et une salle d’eau invités .    a l’étage   trois chambres à coucher , une salle de bains et une chambre de service.    a l’extérieur la villa dispose un jardin , une piscine et un garage.    elle est équipée de chauffage central et de climatisation.    pour plus d’information n’hésitez pas de nous contacter."
437,437,670000.0,150.0,150.0,,ARIANA,Ariana Ville,Riadh Landlous,ariana la ghazella,,0,maison,,,,,,,,,,"a vendre une magnifique villa (fait le coin) de 686 m2  jardin et un garage pour 5 voitures situé à l'ariana cité la ghazelle, quartier calme.   au rdc   un salon, séjour, cuisine, véranda, chambre à coucher, salle de bain niveau 1   4 chambres à coucher avec placards, salle d'eau, salle de bain avec un studio pour gardien.  titre bleu   prix   670 000 dt   merci de vous contacter au 25 399 599 visite payante"
477,477,1400000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une villa très haut standing, sur trois niveaux, sise à la soukra. la bâtisse est composée comme suit   * au rez de chaussée  un grand salon, salle à manger séjour ouvert, une cuisine entièrement équipé et une salle d'eau pour les invités, salle de bain, une suite avec dressing et une chambre à coucher.  * a l'étage   deux suites avec dressing chacune, et une grand salon et terrasse .  sous sol  un studio, une cuisine entièrement équipée et garage. * a l'extérieur une jardin et piscine. tout les pièces sont chauffées et climatisées. ref  mvv0089"
500,500,1400000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une belle villa très haut standing, sur trois niveaux, sise à la soukra. la bâtisse est composée comme suit   * au rez de chaussée  un grand salon, salle à manger séjour ouvert, une cuisine entièrement équipé donnant sur le piscine et une salle d'eau pour les invités, salle de bain, une suite avec dressing et une chambre à coucher.  * a l'étage   deux suites avec dressing chacune, et une grand salon et terrasse .  sous sol  un studio, une cuisine entièrement équipée et garage.  * a l'extérieur une jardin et piscine.  tout les pièces sont chauffées et climatisées.  pour les offres similaires merci de taper la croisette immobilière  ref  mvv0089"
507,507,10000000.0,150.0,150.0,,ARIANA,Raoued,Cite Ennour Jaafar,33 ikamet saraa,,0,maison,,,,,,,,,,"a vendre de maison séparer  réde chausser   une grande salon + une vaste chambre à coucher avec placard une grande cuisine +salle d'eau + mancher mzalez w faillance  lechtar w sabella , installation chauffage central  1er étage   grande salon + 2 chambre à coucher avec placard une cuisine installe avec placard +une petite salle d'eau   installation chauffage central  et installation climatiseur  2eme étage bit sta7  gaz de ville   pour toute information appeler 90215438"
563,563,1400000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une villa de haut standing à la soukra, cette villa comprend un salon lumineux qui donne sur la piscine, une salle à manger, une cuisine équipée spacieuse et une salle d'eau invitée.   l'étage est composé d'une suite parentale avec sa salle de bain et dressing et quatre chambres à coucher avec des dressing et deux salles de bains commune .   à l’extérieur, on trouve une piscine, un jardin, un patio chauffé et climatisé avec une salle d'eau , une cuisine d’été et un garage pour deux voitures.   ref mvv0132  pour plus d'offres similaires merci de taper la croisette immobilière"
568,568,870000.0,150.0,150.0,,ARIANA,Ariana Ville,El Menzah 8,,,0,maison,,,,,,,,,,"à vendre une belle villa à menzeh8 dans un quartier résidentiel. la villa est bâtit sur deux niveaux indépendant. au rdc un salon et 4 chambres à coucher et à l'étage un salon et 3 chambres à coucher. la villa dispose du chauffage central, d'un grand garage et un beau jardin. tel 52 735 736"
577,577,520000.0,150.0,150.0,,ARIANA,Ariana Ville,Cite Ennasr 2,panorama ennasr residence la princesse duplex cd2,,0,maison,,,,,,,,,,"duplex s+3 dans une résidence calme et sécurisée est tres bien située.  niveau 1  un grand salonsalle à manger lumineux avec balcon et grande fenêtre, une salle d'eau et une cuisine avec séchoir un petit hall et escalier en marbre menant au niveau 2.  niveau 2 hall, une suite parentale avec grande fenêtre et une salle d'eau avec cabine de douche, deux chambre à coucher avec balcons et une salle de bain.  ce duplex se caractérise par une très belle vue panoramique et des prestations de très haut standing    2 places de parking.   climatiseurs et chauffage central.   sanitaire et robinetterie de luxe.   sol en marbre.   cuisine moderne et équipée.   boiserie noble (ect) . vue sur mer. fibre optique"
584,584,1030000.0,150.0,150.0,,ARIANA,Ariana Ville,Cite Ennasr 2,ennasr 2,,0,maison,,,,,,,,,,cette demeure est située dans un quartier calme et sécurisé à ennasr. elle est composée de deux étages indépendants.   l'entrée de la villa est embellie par une terrasse de 250 m. le rezdechaussée abrite un salon lumineux grâce à ses multiples ouvertures. la cuisine est fonctionnelle et profite de plusieurs éléments de rangement donnant sur la terrasse. la partie nuit est composée d’une salle de bain avec cabine de douche et trois chambres à coucher.   le premier étage loge un double salon. la cuisine est aménagée et ouvre sur un séchoir. une salle de bain complète ce compartiment. au deuxième étage la aprtie nuit qui abrite trois chambres à coucher dont une suite et une salle de bain.   un parking qui peut contenir deux voitures et un loge gardien sont disponibles à l’extérieur.  cette villa est idéale pour deux familles.
612,612,1030000.0,150.0,150.0,,ARIANA,Ariana Ville,Cite Ennasr 2,,,0,maison,,,,,,,,,,cette demeure est située dans un quartier calme et sécurisé à ennasr. elle est composée de deux étages indépendants.  l'entrée de la villa est embellie par une terrasse de 250 m. le rezdechaussée abrite un  salon lumineux grâce à ses multiples ouvertures. la cuisine est fonctionnelle et profite de plusieurs éléments de rangement donnant sur la terrasse. la partie nuit est composée d’une salle de bain avec cabine de douche et trois chambres à coucher.  le premier étage loge un double salon. la cuisine est aménagée et ouvre sur un séchoir. une salle de bain complète ce compartiment. au deuxième étage la aprtie nuit qui abrite  trois chambres à coucher dont une suite et une salle de bain.  un parking qui peut contenir deux voitures et un loge gardien sont disponibles à l’extérieur. cette villa est idéale pour deux familles.
635,635,1350000.0,150.0,150.0,,ARIANA,LA SOUKRA,La Soukra,la soukra,,0,maison,,,,,,,,,,"la croisette immobilière vous propose à la vente une belle villa de haut standing composé comme suite  l'entrée elle se distingue par son joli jardin qui entoure la villa , un garage pour trois voitures et un logement pour gardien.  au rez de chaussée on trouve un vaste salon lumineux ouvert sur une belle terrasse et donne sur le jardin de deux cotés, une salle à manger et un grand séjour. une grand cuisine équipée avec un coin de repas. un salle d'eau avec douche. un studio composé d'une chambre. la 1 ère étage de la ville se composé de une suite parentale avec chambre à coucher dressing et une salle de bain. trois chambres à coucher une chambre de de séjour qui donne sur une belle.  terrasse, un grand salle de bain. la villa est dotée aussi par deux chauffages centraux, climatisation en split dans tous les coins un système d'alarme. pour les offres similaires merci de taper la croisette immobilière"
